L,g,t,s,f9,f10,S11-9,S11-10,Q-3_9,Q-3_10,Q0.5_9,Q0.5_10,delta_f,delta_S11,delta_Q-3,delta_Q0.5
13.3125,0.723809524,0.298214286,1.694642857,7.691,6.652,-19.413,-20.945,178.8604651,229.3793103,58.70992366,68.57731959,-1.039,-1.532,50.51884523,9.867395924
12.9375,0.298214286,0.641964286,1.678571429,6.55,6.259,-22.365,-22.088,344.7368421,347.7222222,94.92753623,99.34920635,-0.291,0.277,2.985380117,4.421670117
13.25,0.380059524,0.408705357,0.730357143,5.576,5.316,-25.217,-25.141,428.9230769,408.9230769,101.3818182,102.2307692,-0.26,0.076,-20,0.848951049
10.9375,0.420982143,0.335044643,1.871428571,7.911,7.573,-18.896,-18.639,329.625,344.2272727,113.0142857,116.5076923,-0.338,0.257,14.60227273,3.493406593
12.8125,0.429166667,0.433258929,0.617857143,6.318,6.037,-22.95,-22.786,263.25,274.4090909,67.93548387,72.73493976,-0.281,0.164,11.15909091,4.799455888
14.25,0.388244048,0.715625,1.775,6.187,5.907,-23.381,-23.127,325.6315789,369.1875,85.93055556,89.5,-0.28,0.254,43.55592105,3.569444444
12.625,0.240922619,1.1453125,1.325,7.477,7.137,-19.898,-19.636,1869.25,1784.25,575.1538462,549,-0.34,0.262,-85,-26.15384615
11.875,0.47827381,0.556026786,1.807142857,8.038,7.669,-18.619,-18.414,334.9166667,306.76,99.2345679,103.6351351,-0.369,0.205,-28.15666667,4.400567234
12.75,0.445535714,0.568303571,0.360714286,6.753,6.4555,-21.755,-21.62,192.9428571,201.734375,55.35245902,59.22477064,-0.2975,0.135,8.791517857,3.872311626
14.375,0.347321429,0.961160714,1.967857143,6.645,6.34,-22.069,-21.879,390.8823529,372.9411765,108.9344262,115.2727273,-0.305,0.19,-17.94117647,6.338301043
14.8125,0.535565476,0.838392857,0.601785714,6.435,6.138,-22.667,-22.471,257.4,266.8695652,68.45744681,72.21176471,-0.297,0.196,9.469565217,3.754317897
10.5,0.617410714,0.371875,1.019642857,9.298,8.876,-16.025,-15.798,404.2608696,369.8333333,166.0357143,158.5,-0.422,0.227,-34.42753623,-7.535714286
12.125,0.470089286,0.4578125,0.569642857,7.079,6.763,-20.834,-20.638,208.2058824,250.4814815,61.55652174,64.40952381,-0.316,0.196,42.27559913,2.85300207
12.4375,0.699255952,0.420982143,0.2,7.542,7.206,-19.77,-19.548,163.9565217,156.6521739,55.86666667,54.59090909,-0.336,0.222,-7.304347826,-1.275757576
13.5,0.232738095,0.322767857,0.425,5.036,4.811,-27.187,-26.874,719.4285714,801.8333333,148.1176471,155.1935484,-0.225,0.313,82.4047619,7.075901328
11.75,0.43735119,0.580580357,0.923214286,7.837,7.47,-19.094,-18.892,211.8108108,213.4285714,69.3539823,73.96039604,-0.367,0.202,1.617760618,4.606413739
13.6875,0.625595238,0.273660714,0.778571429,6.077,5.803,-23.662,-23.53,253.2083333,252.3043478,62.64948454,65.20224719,-0.274,0.132,-0.903985507,2.552762655
11.8125,0.396428571,0.470089286,0.714285714,5.72,6.778,-24.811,-20.639,286,242.0714286,70.61728395,74.48351648,1.058,4.172,-43.92857143,3.866232533
14.0625,0.54375,0.224553571,0.392857143,5.405,5.163,-25.815,-25.63,360.3333333,344.2,78.33333333,80.671875,-0.242,0.185,-16.13333333,2.338541667
11.56862745,0.397712418,0.433660131,0.941176471,7.277,6.944,-20.397,-20.21,250.9310345,267.0769231,79.09782609,81.69411765,-0.333,0.187,16.14588859,2.59629156
13.07843137,0.487581699,0.406699346,0.364705882,6.223,5.932,-23.293,-23.13,230.4814815,237.28,59.83653846,62.44210526,-0.291,0.163,6.798518519,2.605566802
14.8627451,0.253921569,1.224509804,1.270588235,6.49,6.206,-22.497,-22.232,649,620.6,185.4285714,177.3142857,-0.284,0.265,-28.4,-8.114285714
14.45098039,0.463616558,0.838071895,0.658823529,6.426,6.133,-22.702,-22.49,247.1538462,235.8846154,65.57142857,67.3956044,-0.293,0.212,-11.26923077,1.824175824
12.4379085,0.409694989,0.280882353,0.294117647,6.032,5.757,-23.83,-23.543,301.6,338.6470588,79.36842105,81.08450704,-0.275,0.287,37.04705882,1.71608599
14.77124183,0.56546841,0.478594771,1.011764706,5.74,5.479,-24.817,-24.541,302.1052632,288.3684211,70.86419753,72.09210526,-0.261,0.276,-13.73684211,1.227907732
11.06535948,0.313834423,0.53251634,1.058823529,7.756,7.406,-19.242,-18.995,267.4482759,264.5,87.14606742,89.22891566,-0.35,0.247,-2.948275862,2.082848247
13.12418301,0.457625272,0.649346405,0.847058824,6.901,6.586,-21.346,-21.181,215.65625,219.5333333,62.73636364,65.86,-0.315,0.165,3.877083333,3.123636364
9.692810458,0.34379085,0.397712418,1.635294118,9.148,8.728,-16.336,-16.112,315.4482759,311.7142857,121.9733333,128.3529412,-0.42,0.224,-3.733990148,6.379607843
11.61437908,0.373747277,0.748202614,1.411764706,8.214,7.844,-18.231,-18.012,684.5,784.4,256.6875,253.0322581,-0.37,0.219,99.9,-3.655241935
8.869281046,0.427668845,0.38872549,1.164705882,10.7285,10.239,-13.479,-13.255,466.4565217,465.4090909,233.2282609,227.5333333,-0.4895,0.224,-1.04743083,-5.694927536
14.63398693,0.241938998,1.215522876,0.4,6.319,6.029,-23,-22.798,789.875,1004.833333,225.6785714,231.8846154,-0.29,0.202,214.9583333,6.206043956
12.30065359,0.247930283,0.999836601,1.305882353,7.655,7.779,-19.434,-18.169,1275.833333,324.125,450.2941176,117.8636364,0.124,1.265,-951.7083333,-332.4304813
12.9869281,0.259912854,0.802124183,1.458823529,6.787,6.484,-21.677,-21.496,308.5,324.2,90.49333333,101.3125,-0.303,0.181,15.7,10.81916667
14.13071895,0.625381264,0.613398693,1.647058824,6.843,6.523,-21.538,-21.362,325.8571429,310.6190476,91.24,91.87323944,-0.32,0.176,-15.23809524,0.633239437
13.94771242,0.379738562,1.026797386,0.317647059,6.606,6.697,-22.176,-20.888,1101,248.037037,300.2727273,76.10227273,0.091,1.288,-852.962963,-224.1704545
13.44444444,0.391721133,0.595424837,1.788235294,6.439,6.157,-22.648,-22.344,321.95,362.1764706,88.20547945,91.89552239,-0.282,0.304,40.22647059,3.690042936
10.88235294,0.265904139,0.226960784,1.694117647,6.905,6.594,-21.376,-21.144,690.5,659.4,197.2857143,193.9411765,-0.311,0.232,-31.1,-3.344537815
14.40522876,0.331808279,1.188562092,0.623529412,6.52,6.2135,-22.352,-21.936,1630,1242.7,465.7142857,477.9615385,-0.3065,0.416,-387.3,12.24725275
10.0130719,0.361764706,0.235947712,1.223529412,8.042,7.677,-18.588,-18.433,365.5454545,383.85,129.7096774,134.6842105,-0.365,0.155,18.30454545,4.974533107
9.006535948,0.27788671,0.460620915,1.211764706,9.861,9.426,-14.983,-14.731,273.9166667,277.2352941,121.7407407,127.3783784,-0.435,0.252,3.318627451,5.637637638
10.1503268,0.529520697,0.208986928,1.376470588,8.783,8.384,-17.011,-16.837,243.9722222,246.5882353,97.58888889,96.36781609,-0.399,0.174,2.616013072,-1.221072797
13.62745098,0.469607843,0.954901961,0.435294118,6.876,6.572,-21.448,-21.2,1146,1095.333333,327.4285714,328.6,-0.304,0.248,-50.66666667,1.171428571
8.045751634,0.42167756,0.352777778,0.823529412,11.709,11.2,-11.982,-11.701,900.6923077,746.6666667,468.36,414.8148148,-0.509,0.281,-154.025641,-53.54518519
9.098039216,0.325816993,0.316830065,1.564705882,9.416,8.995,-15.79,-15.571,348.7407407,359.8,147.125,149.9166667,-0.421,0.219,11.05925926,2.791666667
12.20915033,0.637363834,0.514542484,0.411764706,7.749,7.4085,-19.273,-19.033,387.45,352.7857143,129.15,121.4508197,-0.3405,0.24,-34.66428571,-7.699180328
10.92810458,0.235947712,0.793137255,0.576470588,8.34,7.956,-17.977,-17.777,287.5862069,274.3448276,104.25,103.3246753,-0.384,0.2,-13.24137931,-0.925324675
14.08496732,0.559477124,0.379738562,1.964705882,6.076,5.806,-23.695,-23.512,337.5555556,362.875,88.05797101,90.71875,-0.27,0.183,25.31944444,2.660778986
8.45751634,0.337799564,0.505555556,1.952941176,9.068,10.967,-16.461,-12.038,323.8571429,1827.833333,131.4202899,1096.7,1.899,4.423,1503.97619,965.2797101
14.7254902,0.86503268,0.541503268,0.270588235,6.542,6.247,-22.363,-22.145,503.2307692,520.5833333,145.3777778,145.2790698,-0.295,0.218,17.3525641,-0.09870801
13.49019608,0.217973856,0.487581699,0.505882353,5.302,5.067,-26.176,-25.904,407.8461538,460.6363636,108.2040816,110.1521739,-0.235,0.272,52.79020979,1.94809228
13.16993464,0.601416122,0.262908497,1.235294118,6.425,6.127,-22.69,-22.449,267.7083333,266.3913043,71.38888889,74.7195122,-0.298,0.241,-1.317028986,3.330623306
12.94117647,0.541503268,0.550490196,1.329411765,7.189,6.871,-20.615,-20.423,247.8965517,264.2692308,75.67368421,81.79761905,-0.318,0.192,16.37267905,6.123934837
11.70588235,0.229956427,1.107679739,1.447058824,6.497,7.74,-22.483,-18.191,324.85,1935,87.7972973,595.3846154,1.243,4.292,1610.15,507.5873181
12.52941176,0.2,1.206535948,1.717647059,7.564,7.221,-19.637,-19.486,2521.333333,2407,840.4444444,902.625,-0.343,0.151,-114.3333333,62.18055556
14.31372549,0.595424837,0.559477124,0.458823529,6.221,5.934,-23.377,-23.014,200.6774194,204.6206897,53.17094017,53.45945946,-0.287,0.363,3.9432703,0.288519289
13.67320261,0.906971678,0.271895425,1.352941176,7.177,6.849,-20.663,-20.478,247.4827586,244.6071429,78.01086957,80.57647059,-0.328,0.185,-2.875615764,2.565601023
